Degree,Type
Master of Arts Sanskrit,Master 
Master of Arts Sociology,Master 
Master of Arts Telugu,Master 
Master of Arts Tourism Management,Master 
Master of Arts Urdu,Master 
Master of Business Administration,Master 
Master of Business Administration Business Economics,Master 
Master of Business Administration Entrepreneurial,Master
Master of Business Administration Hospital Administration,Master 
Master of Business Administration Hospitality Management,Master 
Master of Business Administration Human Resource Management,Master 
Master of Business Administration Insurance & Banking,Master 
Master of Business Administration International Business,Master 
Master of Business Administration Tourism and Travel Management,Master 
Master of Business Administration Tourism Management,Master 
Master of Business Application Agriculture Management,Master 
Master of Business Management (Marine Human Resource Management),Master 
Master of Business Management (Shipping & Logistics Management),Master 
Master of Business Management (Shipping Finance),Master 
Master of Commerce (Accounting & Financial Management),Master 
Master of Commerce (General),Master 
Master of Commerce (Human Resource Management),Master 
Master of Commerce (International Banking & Accounting),Master 
Master of Commerce Accontancy,Master 
Master of Commerce Accounting and Auditing,Master 
Master of Commerce Advance Accounting,Master 
Master of Commerce Banking and Finance,Master 
Master of Commerce Business Finance,Master 
Master of Commerce Industrial Economics,Master 
Master of Commerce Management,Master 
Master of Computer Application,Master 
Master of Education,Master 
Master of Education Hearing Impairment,Master 
Master of Engineering Communication Systems,Master 
Master of Engineering Computer Aided Design / Computer Aided Machining,Master 
Master of Engineering Computer Engineering,Master 
Master of Engineering Electrical Engineering,Master 
Master of Engineering Electronics & Telecommunication,Master 
Master of Engineering Electronics Engineering,Master 
Master of Engineering Information Technology (Information Security),Master 
Master of Engineering Instrumentation & Control,Master 
Master of Engineering Mechanical Engineering,Master 
Master of Engineering Mechanical Engineering (CAD / CAM),Master 
Master of Engineering Mechanical Engineering (Energy Engineering),Master 
Master of Engineering Power Electronics & Drives,Master 
Master of Engineering VLSI Design,Master 
Master of Financial Management,Master 
Master of Fine Art Applied Art,Master 
Master of Fine Art Painting,Master 
Master of Fine Art Print Making,Master 
Master of Fine Art Sclupture,Master 
Master of Fine Art Visual Communication,Master 
Master of Fine Arts Illustration,Master 
Master of Fine Arts Typography,Master 
Master of Human Resource Development,Master 
Master of Human Resource Management,Master 
Master of Information Management,Master 
Master of Labour Welfare,Master 
Master of Laws,Master 
Master of Library Science,Master 
Master of Management Studies,Master 
Master of Marketing Management,Master 
Master of Occupational Therapy,Master 
Master of Optometry,Master 
Master of Performing Arts (Dance),Master 
Master of Pharmacy,Master 
Master of Pharmacy  Pharmaceutical  Analysis,Master 
Master of Pharmacy Clinical Research,Master 
Master of Pharmacy Herbal Drug Technology,Master 
Master of Pharmacy Hospital Pharmacy,Master 
Master of Pharmacy Pharmaceutical Chemistry,Master 
Master of Pharmacy Pharmaceutical Management,Master 
Master of Pharmacy Pharmaceutics,Master 
Master of Pharmacy Pharmacognosy,Master 
Master of Pharmacy Pharmacology,Master 
Master of Pharmacy Quality Assurance,Master 
Master of Philosophy (Natural Resource Mangement),Master 
Master of Philosophy Biomedical Sciences,Master 
Master of Philosophy Marine Biotechnology,Master 
Master of Philosophy Marine Microbiology,Master 
Master of Philosophy Nursing,Master 
Master of Physical Education,Master 
Master of Physiotherapy,Master 
Master of Science (Horticulture),Master 
Master of Science (Medical Imaging Technology) Radiology,Master 
Master of Science (Post Harvest Management),Master 
Master of Science Agriculture,Master 
Master of Science Analytical Chemistry,Master 
Master of Science Analytical Chemistry (Research),Master 
Master of Science Anatomy,Master 
Master of Science and Doctor of Philosophy Biomedical Sciences,Master 
Master of Science Anthropology,Master 
Master of Science Applied Genetics,Master 
Master of Science Applied Mathematics,Master 
Master of Science Aquaculture,Master 
Master of Science Biochemistry,Master 
Master of Science Biochemistry,Master 
Master of Science Bioinformatics,Master 
Master of Science Biomedical Sciences,Master 
Master of Science Biotechnology,Master 
Master of Science Botany,Master 
Master of Science Chemistry,Master 
Master of Science Chemistry (Research),Master 
Master of Science Computer Science,Master 
Master of Science Defence Science,Master 
Master of Science Earth Science,Master 
Master of Science Electronics,Master 
Master of Science Electronics & Communication,Master 
Master of Science Electronics & Instrumentation Technology,Master 
Master of Science Environment Science Technology,Master 
